variable,month,values
alpha_350,1917-01-01,NA
alpha_350,1918-01-01,NA
alpha_400,1917-01-01,0.09308265658352685
alpha_400,1918-01-01,0.08901624910993494
alpha_450,1917-01-01,0.05954165071119373
alpha_450,1918-01-01,0.05687629027078476
alpha_500,1917-01-01,0.03636816332101125
alpha_500,1918-01-01,0.032656179866448164
alpha_600,1917-01-01,0.02515032301953702
alpha_600,1918-01-01,0.020992025612482406
alpha_700,1917-01-01,0.014703971581333162
alpha_700,1918-01-01,0.013324940720091967
alpha_800,1917-01-01,0.007857685514371595
alpha_800,1918-01-01,0.0072941133294205235
alpha_900,1917-01-01,0.0022775838132469816
alpha_900,1918-01-01,0.0019022738688037153
alpha_1200,1917-01-01,-1.0503075135617905e-4
alpha_1200,1918-01-01,4.275388567822118e-4
alpha_1600,1917-01-01,-0.0020564104542047943
alpha_1600,1918-01-01,-7.836863795902454e-4
